Номер варианта;ID;INCOME_BASE_TYPE;CREDIT_PURPOSE;INSURANCE_FLAG;DTI;SEX;FULL_AGE_CHILD_NUMBER;DEPENDANT_NUMBER;EDUCATION;EMPL_TYPE;EMPL_SIZE;BANKACCOUNT_FLAG;Period_at_work;age;EMPL_PROPERTY;EMPL_FORM;FAMILY_STATUS;max90days;max60days;max30days;max21days;max14days;avg_num_delay;if_zalog;num_AccountActive180;num_AccountActive90;num_AccountActive60;Active_to_All_prc;numAccountActiveAll;numAccountClosed;sum_of_paym_months;all_credits;Active_not_cc;own_closed;min_MnthAfterLoan;max_MnthAfterLoan;dlq_exist;thirty_in_a_year;sixty_in_a_year;ninety_in_a_year;thirty_vintage;sixty_vintage;ninety_vintage
11;1184911;Свободная форма с печатью работодателя;Ремонт;1;0.14;женский;0;0;высшее;специалист;< 50;0;44;56;Производство;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11;1184931;2НДФЛ;Покупка автомобиля;0;;женский;0;0;высшее;другое;;0;67;30;Финансы;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11;1184951;Форма банка (без печати работодателя);Ремонт;1;0.59;мужской;0;0;Высшее/Второе высшее/Ученая степень;вспомогательный персонал;>250;0;82;38;Торговля;ООО;женат / замужем;0;0;0;0;0;0.1230769231;0;0;0;0;0.2857142857;2;5;171;7;1;2;16;115;1;0;0;0;0;0;0
11;1184971;Поступление зарплаты на счет;Покупка недвижимости/ строительство;0;0.43;женский;0;0;высшее;менеджер среднего звена;>=150;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11;1184991;Форма банка (без печати работодателя);Другое;0;0.35;мужской;0;0;высшее;менеджер высшего звена;< 50;0;46;37;Торговля;ООО;повторный брак;2;0;0;0;0;0;1;1;1;1;0.3;3;7;46;10;2;2;1;89;0;0;0;0;0;0;0
11;1185011;Форма банка (без печати работодателя);Ремонт;1;0.52;женский;1;0;Высшее/Второе высшее/Ученая степень;менеджер по продажам;< 50;0;88;38;Торговля;ООО;женат / замужем;3;3;2;2;2;0.0218978102;1;0;0;0;0.4;6;9;268;15;3;1;1;95;1;0;0;0;0;0;0
11;1185031;Поступление зарплаты на счет;Ремонт;1;0.43;женский;1;0;среднее-специальное;специалист;>250;1;101;28;Производство;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11;1185051;Свободная форма с печатью работодателя;Ремонт;1;0.26;женский;0;0;среднее-специальное;специалист;>=50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11;1185071;Форма банка (без печати работодателя);Покупка земли;0;0.38;женский;3;0;Высшее/Второе высшее/Ученая степень;менеджер высшего звена;>250;0;82;36;Другое;ОАО;женат / замужем;2;2;2;1;1;0.0342465753;0;1;0;0;0.1666666667;2;10;141;12;2;2;3;84;1;0;0;0;0;0;0
11;1185091;2НДФЛ;Ремонт;1;0.27;мужской;0;0;Высшее/Второе высшее/Ученая степень;менеджер среднего звена;>250;0;105;53;Производство;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11;1185111;Форма банка (без печати работодателя);Ремонт;0;0.44;мужской;1;0;высшее;вспомогательный персонал;>250;0;24;33;Торговля;ООО;женат / замужем;1;1;1;0;0;0.0238095238;1;0;0;0;0.5;2;2;41;4;2;0;10;91;1;0;0;0;0;0;0
11;1185131;2НДФЛ;Ремонт;1;0.24;мужской;0;0;высшее;рабочий;< 50;0;15;25;Другое;ООО;женат / замужем;2;2;2;0;0;0;0;0;0;0;0;0;1;5;1;0;0;21;21;0;0;0;0;0;0;0
11;1185151;Поступление зарплаты на счет;Покупка мебели;1;0.37;мужской;0;0;высшее;менеджер высшего звена;>100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11;1185171;2НДФЛ;Покупка автомобиля;0;0.44;мужской;0;0;высшее;специалист;>=50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11;1185191;2НДФЛ;Покупка недвижимости/ строительство;0;0.45;женский;1;0;высшее;специалист;>=50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11;1185211;Форма банка (без печати работодателя);Ремонт;1;0.56;женский;2;0;среднее-специальное;менеджер среднего звена;>=50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11;1185231;2НДФЛ;Покупка недвижимости/ строительство;0;0.49;мужской;0;0;высшее;вспомогательный персонал;>=200;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11;1185251;2НДФЛ;Покупка недвижимости/ строительство;0;0.58;мужской;2;0;высшее;специалист;>250;0;99;44;Информационные технологии;ООО;разведен / разведена;0;0;0;0;0;0;0;1;0;0;0.2222222222;2;7;84;9;1;0;3;62;0;0;0;0;0;0;0
11;1185271;Форма банка (без печати работодателя);Отпуск;1;0.58;мужской;1;0;незаконченное высшее;менеджер среднего звена;>=50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11;1185291;2НДФЛ;Ремонт;0;0.53;мужской;0;0;среднее-специальное;вспомогательный персонал;>250;0;64;39;Другое;ООО;женат / замужем;2;2;2;2;2;0;0;0;0;0;0.5;1;1;4;2;0;0;25;43;0;0;0;0;0;0;0
11;1185311;2НДФЛ;Ремонт;0;0.38;женский;0;0;высшее;специалист;>250;0;50;36;Финансы;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11;1185331;Поступление зарплаты на счет;Ремонт;0;0.34;мужской;2;0;высшее;менеджер среднего звена;>250;0;92;32;Торговля;ООО;женат / замужем;3;3;3;3;1;0.0238095238;0;0;0;0;0.1428571429;1;6;205;7;0;2;29;71;1;1;0;0;0;0;0
11;1185351;Поступление зарплаты на счет;Покупка автомобиля;1;0.24;мужской;0;0;среднее-специальное;специалист;>250;0;59;29;Производство;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11;1185371;Форма банка (без печати работодателя);Покупка автомобиля;0;0.1;мужской;2;0;второе высшее;менеджер среднего звена;>250;0;30;38;Производство;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11;1185391;Форма банка (без печати работодателя);Покупка мебели;1;0.37;женский;0;0;Высшее/Второе высшее/Ученая степень;специалист;< 50;0;68;49;Торговля;ООО;холост / не замужем;2;1;0;0;0;0.0247678019;0;2;1;1;0.3529411765;6;11;315;17;2;1;1;95;1;0;0;0;0;0;0
11;1185411;2НДФЛ;Покупка недвижимости/ строительство;0;0.38;женский;1;0;высшее;специалист;< 50;0;24;48;Другое;ООО;женат / замужем;2;2;2;2;2;;;;;;;;;;;;;;;;;;;;;
11;1185431;Поступление зарплаты на счет;Ремонт;1;0.59;мужской;1;0;высшее;специалист;>250;0;41;28;Информационные технологии;ЗАО;женат / замужем;1;0;0;0;0;0.027027027;0;0;0;0;1;2;0;36;2;0;0;12;24;1;0;0;0;0;0;0
11;1185451;Форма банка (без печати работодателя);Ремонт;0;0.55;женский;0;0;высшее;вспомогательный персонал;>=50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11;1185471;Форма банка (без печати работодателя);Ремонт;1;0.38;женский;2;0;высшее;специалист;>=200;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11;1185491;Поступление зарплаты на счет;Покупка автомобиля;1;0.4;мужской;0;0;высшее;специалист;>250;0;13;29;Информационные технологии;ОАО;холост / не замужем;2;1;1;1;1;0.2235294118;0;0;0;0;0.25;2;6;66;8;1;1;6;68;1;1;0;0;0;1;0
11;1185511;2НДФЛ;Отпуск;0;0.48;женский;0;0;высшее;специалист;>250;0;23;27;Торговля;ОАО;холост / не замужем;0;0;0;0;0;0;0;1;0;0;0.5;1;1;10;2;0;0;5;17;0;0;0;0;0;0;0
11;1185531;Свободная форма с печатью работодателя;Ремонт;1;0.55;женский;0;0;Высшее/Второе высшее/Ученая степень;вспомогательный персонал;>250;0;15;26;Торговля;ЗАО;женат / замужем;2;2;2;2;2;0.0784313725;0;0;0;0;0.25;1;3;47;4;1;0;8;38;1;0;0;0;0;0;0
11;1185551;Форма банка (без печати работодателя);Покупка недвижимости/ строительство;1;0.25;мужской;2;0;высшее;специалист;< 50;0;55;42;Торговля;Индивидуальный предприниматель;разведен / разведена;0;0;0;0;0;0;0;0;0;0;1;1;0;11;1;0;0;12;12;0;0;0;0;0;0;0
11;1185571;2НДФЛ;Покупка недвижимости/ строительство;1;0.49;женский;0;0;среднее-специальное;менеджер среднего звена;>=100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11;1185591;Форма банка (без печати работодателя);Ремонт;1;0.43;мужской;1;0;среднее-специальное;рабочий;>250;0;9;41;Другое;Иная форма;холост / не замужем;4;3;1;1;1;0.04;0;0;0;0;0.4;6;9;168;15;2;1;4;59;1;1;0;0;0;0;0
11;1185611;Поступление зарплаты на счет;Ремонт;1;0.58;мужской;2;0;высшее;менеджер среднего звена;< 50;0;148;52;Торговля;ООО;женат / замужем;2;2;2;1;1;0;0;0;0;0;0;0;1;7;1;0;1;88;88;0;0;0;0;0;0;0
11;1185631;2НДФЛ;Ремонт;1;0.57;мужской;0;0;высшее;рабочий;>250;0;60;37;Транспорт;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11;1185651;Поступление зарплаты на счет;Покупка автомобиля;0;0.35;женский;1;0;высшее;менеджер среднего звена;>=200;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11;1185671;2НДФЛ;Ремонт;1;0.56;женский;0;0;Высшее/Второе высшее/Ученая степень;специалист;>250;0;192;53;Другое;Государственное предприятие;холост / не замужем;3;3;3;3;3;;;;;;;;;;;;;;;;;;;;;
11;1185691;2НДФЛ;Ремонт;0;0.45;женский;1;0;среднее-специальное;менеджер высшего звена;>250;3;11;30;Торговля;ЗАО;женат / замужем;0;0;0;0;0;0;0;0;0;0;0.5;2;2;29;4;1;0;15;41;0;0;0;0;0;0;0
11;1185711;Форма банка (без печати работодателя);Покупка автомобиля;0;0.29;мужской;1;0;высшее;менеджер среднего звена;>250;0;137;32;Торговля;ООО;женат / замужем;0;0;0;0;0;0.04;1;0;0;0;0.6;3;2;96;5;2;2;12;72;1;0;0;0;0;0;0
11;1185731;Форма банка (без печати работодателя);Покупка автомобиля;0;0.16;мужской;0;0;Высшее/Второе высшее/Ученая степень;специалист;< 50;0;18;28;Торговля;ООО;гражданский брак;0;0;0;0;0;0;0;0;0;0;0;0;1;33;1;0;1;42;42;0;0;0;0;0;0;0
